Total volume summary of Futures and Options by product type:                                        
Product        ,No of Contracts     ,Traded Value (Rs. Crs.)       
Index Futures  ,           192818,          35816.75
Stock Futures  ,          4305287,         292795.89
Index Options  ,         71627479,       14039127.73
Stock Options  ,         10700338,         741693.49
Vol Futures    ,              000,              0.00
F&O Total      ,         86825922,       15109433.86
