INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,30/12/2025,00046500.00,PE      ,00000000.60,00000001.30,00000000.45,00000000.75,000000000016170,             3990,              114,              091,      185537766.75,           2766.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00048500.00,PE      ,00000001.05,00000001.90,00000000.80,00000001.45,000000000009065,             5425,              155,              074,      263118975.00,           6475.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00049700.00,PE      ,00000001.50,00000002.00,00000000.70,00000001.45,000000000005635,             1330,              038,              031,       66102855.00,           1855.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00050100.00,PE      ,00000000.60,00000001.35,00000000.60,00000001.15,000000000001365,             3360,              096,              028,      168339787.00,           3787.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00050500.00,CE      ,00008500.00,00008640.00,00008450.00,00008518.35,000000000000280,              175,              005,              005,       10325700.00,        1488200.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00050500.00,PE      ,00000001.50,00000002.25,00000001.05,00000001.15,000000000013615,             1470,              042,              020,       74237075.50,           2075.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00050900.00,PE      ,00000001.65,00000002.70,00000000.95,00000001.85,000000000001330,              840,              024,              023,       42757487.50,           1487.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00051300.00,PE      ,00000001.85,00000003.00,00000001.65,00000002.90,000000000001050,             1015,              029,              025,       52071733.00,           2233.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00051700.00,PE      ,00000000.95,00000001.30,00000000.95,00000001.30,000000000000385,              070,              002,              002,        3619078.75,             78.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00052100.00,PE      ,00000001.85,00000002.00,00000001.85,00000001.90,000000000001330,              105,              003,              003,        5470701.25,            201.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00052500.00,CE      ,00006490.00,00006490.00,00006490.00,00006490.00,000000000000315,              035,              001,              001,        2064650.00,         227150.00
