INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,30/12/2025,00052500.00,PE      ,00000001.50,00000002.95,00000001.20,00000001.55,000000000035335,            27440,              784,              227,     1440639947.25,          39947.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00052900.00,PE      ,00000001.45,00000002.95,00000001.05,00000001.20,000000000001995,             1295,              037,              033,       68507643.75,           2143.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00053300.00,PE      ,00000002.00,00000006.10,00000001.10,00000001.50,000000000001365,             6545,              187,              182,      348859070.00,          10570.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00053700.00,PE      ,00000001.15,00000002.65,00000001.00,00000001.45,000000000004270,             7840,              224,              194,      421019982.25,          11982.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00054100.00,PE      ,00000001.00,00000002.65,00000001.00,00000001.60,000000000007210,            13650,              390,              347,      738487284.50,          22284.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00054500.00,CE      ,00004590.00,00004595.00,00004350.40,00004438.00,000000000002555,             5740,              164,              117,      338014873.00,       25184873.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00054500.00,PE      ,00000001.70,00000001.75,00000000.85,00000001.30,000000000086100,           107800,             3080,             1488,     5875251861.50,         151861.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00054900.00,PE      ,00000001.10,00000002.60,00000000.75,00000001.65,000000000011760,            24080,              688,              406,     1322033942.25,          41942.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00055300.00,PE      ,00000002.00,00000002.60,00000001.10,00000001.80,000000000008365,            23170,              662,              520,     1281345822.75,          44822.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00055700.00,PE      ,00000001.55,00000003.80,00000001.10,00000001.65,000000000014735,            24500,              700,              458,     1364698793.50,          48793.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00056100.00,PE      ,00000002.30,00000002.85,00000001.20,00000001.90,000000000020615,            79870,             2282,             1678,     4480875633.50,         168633.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00056500.00,CE      ,00002441.60,00002499.05,00002330.00,00002441.45,000000000014385,             5285,              151,              085,      311447214.75,       12844714.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00056500.00,PE      ,00000002.05,00000002.95,00000001.25,00000001.90,000000000372085,          1758225,            50235,            13380,    99343384395.50,        3671895.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00056900.00,CE      ,00001962.40,00002038.70,00001947.55,00002038.70,000000000000315,              175,              005,              005,       10306714.25,         349214.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00056900.00,PE      ,00000002.35,00000003.40,00000001.60,00000002.25,000000000049875,           358960,            10256,             4390,    20425754419.00,         930419.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00057300.00,CE      ,00001769.05,00001769.05,00001546.00,00001645.00,000000000003010,              280,              008,              008,       16501355.50,         457355.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00057300.00,PE      ,00000002.55,00000003.55,00000001.75,00000002.60,000000000036785,           408345,            11667,             5554,    23399319529.25,        1151029.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00057700.00,CE      ,00001265.15,00001283.10,00001140.00,00001259.55,000000000006755,             2520,              072,              042,      148385350.75,        2981350.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00057700.00,PE      ,00000004.90,00000004.95,00000001.65,00000003.10,000000000105770,          1322510,            37786,            14159,    76313349861.00,        4522861.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00058100.00,CE      ,00000945.75,00001010.00,00000737.35,00000853.60,000000000007350,            14980,              428,              313,      882993027.00,       12655027.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00058100.00,PE      ,00000008.00,00000008.25,00000003.50,00000004.60,000000000249200,          2723175,            77805,            34552,   158232047774.50,       15580274.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00058500.00,CE      ,00000584.05,00000620.00,00000361.05,00000463.90,000000000533610,          2174935,            62141,            42062,   128194797225.25,      961099725.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00058500.00,PE      ,00000026.00,00000041.00,00000012.80,00000018.95,000000001306480,         19583970,           559542,           238607,  1146139010950.50,      476765950.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00058900.00,CE      ,00000262.15,00000276.20,00000096.05,00000147.80,000000000602070,         24938900,           712540,           417768,  1472414839574.00,     3513629574.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00058900.00,PE      ,00000105.00,00000182.95,00000060.05,00000104.55,000000000819735,         35572810,          1016366,           589680,  2099457940450.50,     4219431450.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00059300.00,CE      ,00000074.30,00000074.30,00000018.65,00000028.95,000000000871780,         14267575,           407645,           208654,   846567620787.00,      500423287.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00059300.00,PE      ,00000285.75,00000497.05,00000256.05,00000385.35,000000000140805,          2659580,            75988,            52538,   158685760924.25,      972666924.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00059700.00,CE      ,00000019.00,00000019.00,00000007.15,00000009.00,000000000501585,          4849915,           138569,            69077,   289587577611.50,       47652111.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00059700.00,PE      ,00000626.00,00000881.60,00000610.00,00000760.95,000000000116270,           249900,             7140,             4293,    15106416690.75,      187386690.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00060100.00,CE      ,00000008.95,00000008.95,00000004.65,00000006.15,000000000305830,          2596510,            74186,            26435,   156065464401.00,       15213401.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00060100.00,PE      ,00001036.60,00001276.70,00000999.00,00001159.75,000000000045395,             9205,              263,              225,      563890365.50,       10669865.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00060500.00,CE      ,00000004.90,00000006.00,00000003.75,00000004.95,000000001016575,          6252855,           178653,            52678,   378326174100.00,       28446600.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00060500.00,PE      ,00001415.00,00001670.00,00001399.05,00001563.75,000000000041160,            25760,              736,              457,     1598451162.00,       39971162.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00060900.00,CE      ,00000003.90,00000004.80,00000002.75,00000003.95,000000000133630,          1470210,            42006,            14352,    89541508866.25,        5719866.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00060900.00,PE      ,00001946.55,00001953.90,00001917.85,00001917.85,000000000021560,              175,              005,              005,       10997399.00,         339899.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00061300.00,CE      ,00000001.55,00000004.25,00000001.55,00000003.90,000000000056245,           610995,            17457,             6868,    37456092819.25,        2099319.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00061700.00,CE      ,00000004.00,00000004.00,00000002.45,00000003.55,000000000078435,           278355,             7953,             3760,    17175403899.50,         900399.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00061700.00,PE      ,00002755.55,00002755.55,00002755.55,00002755.55,000000000003325,              035,              001,              001,        2255944.25,          96444.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00062100.00,CE      ,00000002.70,00000004.10,00000001.70,00000003.05,000000000031885,            74830,             2138,             1225,     4647158937.75,         215937.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00062500.00,CE      ,00000003.25,00000003.45,00000002.10,00000002.80,000000000493535,          1090390,            31154,             8926,    68152259187.25,        2884187.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00062500.00,PE      ,00003630.00,00003638.55,00003590.00,00003590.00,000000000000490,              105,              003,              003,        6942549.25,         380049.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00062900.00,CE      ,00000002.30,00000003.30,00000001.75,00000002.70,000000000015890,            35665,             1019,              489,     2243419918.25,          91418.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00063300.00,CE      ,00000002.70,00000003.30,00000001.70,00000002.70,000000000011235,            14175,              405,              236,      897311476.25,          33976.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00063700.00,CE      ,00000002.35,00000002.90,00000001.35,00000002.10,000000000014910,            13440,              384,              224,      856155149.50,          27149.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00064100.00,CE      ,00000002.00,00000003.00,00000001.55,00000002.40,000000000006125,            11690,              334,              222,      749354019.75,          25019.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00064500.00,CE      ,00000002.20,00000002.20,00000001.30,00000001.75,000000000077665,            66185,             1891,              624,     4269037080.00,         104580.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00066500.00,CE      ,00000001.60,00000002.00,00000000.90,00000001.65,000000000083335,            29190,              834,              364,     1941177497.00,          42497.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00050500.00,CE      ,00008731.25,00008740.00,00008731.25,00008738.80,000000000000420,              150,              005,              005,        8885593.50,        1310593.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00050500.00,PE      ,00000007.00,00000008.90,00000007.00,00000007.65,000000000004890,             1200,              040,              040,       60608986.50,           8986.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00052500.00,CE      ,00006651.00,00006800.00,00006651.00,00006800.00,000000000001050,              090,              003,              003,        5329500.00,         604500.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00052500.00,PE      ,00000013.85,00000014.00,00000010.25,00000011.65,000000000003960,             1080,              036,              033,       56713120.50,          13120.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00054100.00,PE      ,00000017.95,00000018.00,00000016.55,00000017.40,000000000002730,             1740,              058,              040,       94164556.50,          30556.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00054500.00,CE      ,00004940.60,00004955.00,00004699.40,00004800.70,000000000007290,             6180,              206,              153,      366108624.00,       29298624.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00054500.00,PE      ,00000020.80,00000022.55,00000018.55,00000020.30,000000000025620,            31290,             1043,              431,     1705948794.00,         643794.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00055300.00,PE      ,00000031.95,00000031.95,00000026.70,00000028.85,000000000005760,             5010,              167,              090,      277203691.50,         150691.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00056500.00,CE      ,00002985.95,00003000.00,00002795.00,00002867.05,000000000020400,            12600,              420,              297,      748115217.00,       36215217.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00056500.00,PE      ,00000062.00,00000073.75,00000060.50,00000064.80,000000000180420,            68010,             2267,             1117,     3847139448.00,        4574448.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00056900.00,CE      ,00002480.00,00002520.00,00002480.00,00002520.00,000000000000510,              390,              013,              007,       23172600.00,         981600.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00056900.00,PE      ,00000095.00,00000104.00,00000086.55,00000092.10,000000000006540,             7920,              264,              197,      451408627.50,         760627.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00057300.00,PE      ,00000120.00,00000146.10,00000118.05,00000129.45,000000000014040,             7560,              252,              146,      434194035.00,        1006035.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00057700.00,CE      ,00001783.00,00001783.00,00001757.70,00001776.35,000000000000630,              090,              003,              003,        5352511.50,         159511.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00057700.00,PE      ,00000174.75,00000202.30,00000171.75,00000181.85,000000000013650,             8400,              280,              153,      486308724.00,        1628724.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00058100.00,CE      ,00001470.00,00001523.75,00001422.00,00001523.75,000000000001170,              990,              033,              011,       58975321.50,        1456321.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00058100.00,PE      ,00000246.45,00000287.05,00000230.95,00000258.20,000000000015600,            20160,              672,              389,     1176705213.00,        5409213.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00058500.00,CE      ,00001286.00,00001314.95,00001130.00,00001197.05,000000000055590,            74370,             2479,             1583,     4439278180.50,       88633180.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00058500.00,PE      ,00000338.40,00000396.00,00000321.05,00000358.35,000000000286890,           241860,             8062,             4626,    14236410546.00,       87600546.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00058900.00,CE      ,00001048.00,00001048.00,00000880.00,00000934.30,000000000041310,           142170,             4739,             2732,     8505843486.00,      132030486.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00058900.00,PE      ,00000471.00,00000544.90,00000446.10,00000497.65,000000000071580,           238950,             7965,             4552,    14195413942.50,      121258942.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00059300.00,CE      ,00000770.05,00000796.50,00000660.00,00000705.75,000000000044250,            79380,             2646,             1664,     4762772152.50,       55538152.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00059300.00,PE      ,00000608.00,00000719.00,00000596.60,00000659.50,000000000062280,            90120,             3004,             1686,     5404404210.00,       60288210.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00059700.00,CE      ,00000574.95,00000586.00,00000473.40,00000515.60,000000000037530,            55680,             1856,             1489,     3352867234.50,       28771234.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00059700.00,PE      ,00000798.05,00000931.45,00000785.00,00000869.25,000000000063330,            72960,             2432,             1365,     4418995786.50,       63283786.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00060100.00,CE      ,00000412.80,00000418.20,00000331.90,00000358.85,000000000024990,            28890,              963,              605,     1746785931.00,       10496931.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00060100.00,PE      ,00001060.00,00001185.65,00001022.00,00001110.20,000000000005730,             6180,              206,              102,      378271237.50,        6853237.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00060500.00,CE      ,00000280.05,00000286.65,00000220.45,00000241.95,000000000168450,           226230,             7541,             4017,    13742177700.00,       55262700.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00060500.00,PE      ,00001299.90,00001468.85,00001275.00,00001383.65,000000000068730,            41490,             1383,              964,     2567969796.00,       57824796.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00060900.00,CE      ,00000192.30,00000192.30,00000145.70,00000161.10,000000000009750,            22860,              762,              467,     1395890052.00,        3716052.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00061300.00,CE      ,00000124.20,00000125.85,00000095.80,00000105.50,000000000016080,            23670,              789,              340,     1453463665.50,        2492665.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00061300.00,PE      ,00002030.00,00002045.00,00002010.60,00002031.45,000000000000690,              480,              016,              009,       30398746.50,         974746.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00061700.00,CE      ,00000084.90,00000084.90,00000067.00,00000072.50,000000000011100,            13920,              464,              176,      859894299.00,        1030299.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00062100.00,CE      ,00000054.00,00000057.00,00000045.35,00000051.55,000000000011280,            27720,              924,              262,     1722875023.50,        1463023.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00062500.00,CE      ,00000039.00,00000041.85,00000034.00,00000037.90,000000000106020,            94440,             3148,             1421,     5906019748.50,        3519748.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00062500.00,PE      ,00003250.00,00003250.00,00003100.85,00003154.90,000000000007380,             8310,              277,              103,      545327317.50,       25952317.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00063300.00,PE      ,00003920.00,00003920.00,00003920.00,00003920.00,000000000000030,              030,              001,              001,        2016600.00,         117600.00
OPTIDX    ,BANKNIFTY ,27/01/2026,00064500.00,CE      ,00000014.75,00000017.90,00000011.90,00000017.05,000000000023190,            17250,              575,              402,     1112892874.50,         267874.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00064500.00,PE      ,00005086.40,00005278.70,00005086.40,00005278.70,000000000000510,              540,              018,              016,       37605112.50,        2775112.50
OPTIDX    ,BANKNIFTY ,27/01/2026,00066500.00,CE      ,00000010.95,00000011.50,00000009.90,00000011.00,000000000007620,             4830,              161,              088,      321246139.50,          51139.50
OPTIDX    ,BANKNIFTY ,24/02/2026,00056500.00,CE      ,00003452.00,00003452.00,00003269.95,00003282.80,000000000000360,              510,              017,              016,       30504424.50,        1689424.50
OPTIDX    ,BANKNIFTY ,24/02/2026,00056500.00,PE      ,00000170.00,00000198.75,00000166.00,00000193.05,000000000037680,            17460,              582,              346,      989804176.50,        3314176.50
OPTIDX    ,BANKNIFTY ,24/02/2026,00058100.00,CE      ,00002012.20,00002012.20,00002012.20,00002012.20,000000000000150,              150,              005,              001,        9016830.00,         301830.00
OPTIDX    ,BANKNIFTY ,24/02/2026,00058500.00,CE      ,00001814.65,00001814.85,00001688.05,00001754.00,000000000003510,             3090,              103,              068,      186084834.00,        5319834.00
OPTIDX    ,BANKNIFTY ,24/02/2026,00058500.00,PE      ,00000530.00,00000599.90,00000517.35,00000571.55,000000000014520,            11340,              378,              192,      669887836.50,        6497836.50
OPTIDX    ,BANKNIFTY ,24/02/2026,00058900.00,CE      ,00001455.65,00001492.55,00001455.65,00001467.35,000000000000420,              090,              003,              003,        5433466.50,         132466.50
OPTIDX    ,BANKNIFTY ,24/02/2026,00058900.00,PE      ,00000736.25,00000741.65,00000736.25,00000740.60,000000000000120,              120,              004,              004,        7156773.00,          88773.00
OPTIDX    ,BANKNIFTY ,24/02/2026,00059300.00,CE      ,00001230.00,00001257.65,00001217.00,00001257.65,000000000003360,             4530,              151,              026,      274197984.00,        5568984.00
OPTIDX    ,BANKNIFTY ,24/02/2026,00059300.00,PE      ,00000795.00,00000884.95,00000788.00,00000884.95,000000000001290,             1020,              034,              020,       61377226.50,         891226.50
OPTIDX    ,BANKNIFTY ,24/02/2026,00059700.00,CE      ,00001040.00,00001040.00,00001029.60,00001029.60,000000000000270,              120,              004,              002,        7288488.00,         124488.00
OPTIDX    ,BANKNIFTY ,24/02/2026,00059700.00,PE      ,00000970.20,00001047.65,00000970.20,00001023.00,000000000000390,              840,              028,              017,       51001653.00,         853653.00
OPTIDX    ,BANKNIFTY ,24/02/2026,00060100.00,CE      ,00000900.00,00000900.00,00000792.00,00000830.00,000000000001020,              870,              029,              017,       52999708.50,         712708.50
OPTIDX    ,BANKNIFTY ,24/02/2026,00060500.00,CE      ,00000700.00,00000720.00,00000630.00,00000660.90,000000000007500,             7890,              263,              146,      482557623.00,        5212623.00
OPTIDX    ,BANKNIFTY ,24/02/2026,00060500.00,PE      ,00001505.00,00001505.00,00001440.55,00001440.55,000000000000030,              060,              002,              002,        3718366.50,          88366.50
OPTIDX    ,BANKNIFTY ,24/02/2026,00063300.00,CE      ,00000095.80,00000100.35,00000087.35,00000095.50,000000000005220,             1410,              047,              016,       89388510.00,         135510.00
OPTIDX    ,BANKNIFTY ,24/02/2026,00064500.00,CE      ,00000040.00,00000047.95,00000030.80,00000040.65,000000000028680,             3810,              127,              041,      245891568.00,         146568.00
OPTIDX    ,BANKNIFTY ,24/02/2026,00066500.00,CE      ,00000017.00,00000019.50,00000017.00,00000018.90,000000000001110,             1080,              036,              028,       71839155.00,          19155.00
OPTIDX    ,BANKNIFTY ,30/03/2026,00058500.00,CE      ,00002330.00,00002353.65,00002145.00,00002255.00,000000000010395,             3815,              109,              063,      231675246.25,        8497746.25
OPTIDX    ,BANKNIFTY ,30/03/2026,00058500.00,PE      ,00000629.05,00000722.55,00000610.00,00000639.95,000000000061250,            16065,              459,              311,      950292241.50,       10489741.50
OPTIDX    ,MIDCPNIFTY,30/12/2025,00012725.00,PE      ,00000000.25,00000001.50,00000000.25,00000000.40,000000000004060,            53200,              380,              316,      676999561.00,          29561.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00012825.00,PE      ,00000000.20,00000001.00,00000000.10,00000000.25,000000000007420,            58100,              415,              326,      745158722.00,          26222.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00012925.00,PE      ,00000000.75,00000000.95,00000000.25,00000000.45,000000000002940,            42700,              305,              250,      551920635.00,          23135.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013025.00,PE      ,00000000.40,00000001.05,00000000.25,00000000.85,000000000007000,            12460,              089,              058,      162300495.00,           8995.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013125.00,PE      ,00000000.70,00000001.05,00000000.35,00000000.55,000000000004620,            28420,              203,              172,      373028047.00,          15547.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013225.00,CE      ,00000479.40,00000492.70,00000479.40,00000492.70,000000000001400,              280,              002,              002,        3839094.00,         136094.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013225.00,PE      ,00000000.95,00000000.95,00000000.30,00000000.65,000000000017220,            64120,              458,              307,      848033123.00,          46123.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013325.00,CE      ,00000389.25,00000432.45,00000349.35,00000349.35,000000000000560,              560,              004,              004,        7677005.00,         215005.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013325.00,PE      ,00000002.10,00000002.10,00000000.60,00000001.05,000000000020440,           162120,             1158,              565,     2160427976.00,         178976.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013425.00,CE      ,00000289.70,00000289.70,00000226.40,00000226.40,000000000001120,              980,              007,              006,       13425181.00,         268681.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013425.00,PE      ,00000002.65,00000003.20,00000001.45,00000002.10,000000000038780,           599480,             4282,             2807,     8049369286.00,        1350286.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013525.00,CE      ,00000210.00,00000210.00,00000129.00,00000136.85,000000000003780,            11480,              082,              055,      157157623.00,        1890623.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013525.00,PE      ,00000006.80,00000009.45,00000003.40,00000006.60,000000000225820,          2150820,            15363,            10496,    29103559079.00,       13718579.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013625.00,CE      ,00000113.45,00000152.00,00000051.05,00000058.10,000000000061740,          1081360,             7724,             5679,    14815208590.00,       81678590.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013625.00,PE      ,00000019.00,00000031.45,00000009.30,00000026.45,000000000137340,          9098460,            64989,            47106,   124167779988.00,      201262488.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013725.00,CE      ,00000065.00,00000079.65,00000013.05,00000017.40,000000000328160,         11519900,            82285,            60546,   158542228313.00,      431600813.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013725.00,PE      ,00000052.20,00000093.45,00000027.90,00000079.00,000000000075320,          9028040,            64486,            49590,   124393777375.00,      483928375.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013825.00,CE      ,00000024.00,00000029.15,00000003.70,00000004.35,000000000341320,          5265960,            37614,            28471,    72870711438.00,       68814438.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013825.00,PE      ,00000115.15,00000182.20,00000077.95,00000168.65,000000000030520,           333480,             2382,             1970,     4647259351.00,       36898351.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013925.00,CE      ,00000008.90,00000010.80,00000001.95,00000002.15,000000000184240,          2156560,            15404,            10068,    30039739884.00,        9641884.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00013925.00,PE      ,00000215.05,00000281.60,00000166.90,00000279.30,000000000022400,            19880,              142,              105,      281091902.00,        4262902.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00014025.00,CE      ,00000003.35,00000004.50,00000001.10,00000001.45,000000000079240,           832160,             5944,             3958,    11672769143.00,        1725143.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00014025.00,PE      ,00000296.05,00000358.85,00000293.45,00000348.00,000000000018900,             1120,              008,              008,       16083200.00,         375200.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00014125.00,CE      ,00000001.60,00000001.95,00000000.90,00000001.10,000000000042560,           364700,             2605,             1323,     5151869023.00,         481523.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00014225.00,CE      ,00000001.15,00000001.30,00000000.65,00000000.85,000000000021000,            81340,              581,              451,     1157141328.00,          79828.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00014325.00,CE      ,00000000.80,00000001.10,00000000.50,00000000.75,000000000012740,            80780,              577,              418,     1157238754.00,          65254.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00014425.00,CE      ,00000000.85,00000000.95,00000000.40,00000000.60,000000000022820,            75880,              542,              456,     1094622081.00,          53081.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00014525.00,CE      ,00000000.45,00000000.85,00000000.40,00000000.70,000000000014420,             4620,              033,              017,       67108720.00,           3220.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00014625.00,CE      ,00000000.50,00000000.50,00000000.25,00000000.35,000000000005180,              560,              004,              003,        8190175.00,            175.00
OPTIDX    ,MIDCPNIFTY,30/12/2025,00014825.00,CE      ,00000000.60,00000001.75,00000000.35,00000000.40,000000000011480,            79520,              568,              322,     1178925895.00,          41895.00
OPTIDX    ,MIDCPNIFTY,27/01/2026,00013625.00,CE      ,00000312.25,00000312.25,00000268.15,00000279.80,000000000000840,             1320,              011,              011,       18361290.00,         376290.00
OPTIDX    ,MIDCPNIFTY,27/01/2026,00013625.00,PE      ,00000193.85,00000193.85,00000193.85,00000193.85,000000000000240,              240,              002,              001,        3316524.00,          46524.00
