INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,INDHOTEL  ,24/02/2026,00000749.05,00000751.20,00000747.50,00000749.45,000000000331000,       93675800.00,           125000,              125,              112
FUTSTK    ,INDIANB   ,30/12/2025,00000778.30,00000789.00,00000775.00,00000785.20,000000004638000,     3148160300.00,          4027000,             4027,             3564
FUTSTK    ,INDIANB   ,27/01/2026,00000788.70,00000793.90,00000780.00,00000789.90,000000008480000,     3242657450.00,          4122000,             4122,             3641
FUTSTK    ,INDIANB   ,24/02/2026,00000786.00,00000796.10,00000786.00,00000794.55,000000000082000,       24575450.00,            31000,              031,              028
FUTSTK    ,INDIGO    ,30/12/2025,00005070.50,00005100.50,00005070.50,00005080.50,000000004226850,     9611811750.00,          1891350,            12609,             9588
FUTSTK    ,INDIGO    ,27/01/2026,00005107.00,00005130.00,00005098.50,00005109.50,000000007428450,    10144801575.00,          1984650,            13231,             9889
FUTSTK    ,INDIGO    ,24/02/2026,00005133.50,00005155.00,00005131.50,00005144.50,000000000187200,      144262650.00,            28050,              187,              157
FUTSTK    ,INDUSINDBK,30/12/2025,00000845.00,00000853.35,00000835.25,00000838.00,000000016171400,    12197265710.00,         14473200,            20676,            11484
FUTSTK    ,INDUSINDBK,27/01/2026,00000854.75,00000858.70,00000840.35,00000843.70,000000037885400,    13037548755.00,         15372700,            21961,            12262
FUTSTK    ,INDUSINDBK,24/02/2026,00000858.35,00000862.00,00000846.85,00000849.80,000000000667800,      134831130.00,           158200,              226,              207
FUTSTK    ,INDUSTOWER,30/12/2025,00000418.00,00000426.40,00000417.70,00000420.85,000000025634300,     9807185675.00,         23193100,            13643,             7055
FUTSTK    ,INDUSTOWER,27/01/2026,00000424.15,00000429.20,00000420.45,00000424.00,000000078407400,    10969545120.00,         25773700,            15161,             7888
FUTSTK    ,INDUSTOWER,24/02/2026,00000424.00,00000431.40,00000423.60,00000426.60,000000000311100,       69083070.00,           161500,              095,              090
FUTSTK    ,INFY      ,30/12/2025,00001653.00,00001672.10,00001637.90,00001646.80,000000017018000,    19350532920.00,         11750800,            29377,            23387
FUTSTK    ,INFY      ,27/01/2026,00001669.00,00001677.90,00001646.40,00001653.80,000000065582800,    19384185440.00,         11710800,            29277,            23437
FUTSTK    ,INFY      ,24/02/2026,00001685.00,00001685.00,00001657.90,00001661.30,000000000588800,      333269520.00,           200000,              500,              479
FUTSTK    ,INOXWIND  ,30/12/2025,00000127.29,00000129.39,00000123.97,00000124.62,000000040062368,     4888172334.40,         38743752,            11841,            10911
FUTSTK    ,INOXWIND  ,27/01/2026,00000126.91,00000130.24,00000124.79,00000125.40,000000066495000,     5331851060.25,         41977650,            11742,            10639
FUTSTK    ,INOXWIND  ,24/02/2026,00000128.01,00000130.71,00000125.76,00000126.17,000000002234375,      314937301.25,          2473900,              692,              424
FUTSTK    ,IOC       ,30/12/2025,00000160.00,00000162.89,00000159.67,00000162.11,000000037825125,     5456034528.75,         33720375,             6917,             3999
FUTSTK    ,IOC       ,27/01/2026,00000161.71,00000163.98,00000160.71,00000163.14,000000080993250,     5695684507.50,         34973250,             7174,             4280
FUTSTK    ,IOC       ,24/02/2026,00000161.97,00000164.80,00000161.95,00000164.25,000000001355250,       84662906.25,           516750,              106,              090
FUTSTK    ,IRCTC     ,30/12/2025,00000710.70,00000710.95,00000696.60,00000699.50,000000003927000,     3374599025.00,          4809875,             5497,             4938
FUTSTK    ,IRCTC     ,27/01/2026,00000715.20,00000716.40,00000700.05,00000702.10,000000015617875,     4693352431.25,          6652625,             7603,             6647
FUTSTK    ,IRCTC     ,24/02/2026,00000710.80,00000716.10,00000702.40,00000704.25,000000001247750,      417170687.50,           588875,              673,              605
FUTSTK    ,IREDA     ,30/12/2025,00000139.67,00000143.00,00000138.26,00000138.63,000000007962600,     2156517513.00,         15393900,             4462,             4006
FUTSTK    ,IREDA     ,27/01/2026,00000140.95,00000141.29,00000136.32,00000136.79,000000044149650,     2865376627.50,         20724150,             6007,             5450
FUTSTK    ,IREDA     ,24/02/2026,00000140.42,00000140.96,00000135.90,00000136.43,000000003826050,      224578819.50,          1628400,              472,              439
FUTSTK    ,IRFC      ,30/12/2025,00000134.12,00000136.44,00000125.49,00000126.07,000000013578750,     4156688190.00,         32104500,             7554,             6929
FUTSTK    ,IRFC      ,27/01/2026,00000135.90,00000137.27,00000125.67,00000126.38,000000046337750,     6926206895.00,         53443750,            12575,            11040
FUTSTK    ,IRFC      ,24/02/2026,00000135.90,00000137.80,00000126.20,00000126.82,000000003429750,      618064580.00,          4772750,             1123,              979
FUTSTK    ,ITC       ,30/12/2025,00000404.85,00000404.85,00000401.75,00000402.75,000000057240000,    14458583120.00,         35913600,            22446,            15787
FUTSTK    ,ITC       ,27/01/2026,00000407.30,00000407.30,00000404.55,00000405.40,000000145585600,    14790923600.00,         36497600,            22811,            16092
FUTSTK    ,ITC       ,24/02/2026,00000404.10,00000404.85,00000402.50,00000403.10,000000004348800,      487112160.00,          1208000,              755,              698
FUTSTK    ,M&M       ,30/12/2025,00003610.70,00003634.90,00003590.00,00003594.90,000000005286000,    12564953580.00,          3475600,            17378,            11544
FUTSTK    ,M&M       ,27/01/2026,00003639.90,00003658.70,00003613.20,00003617.30,000000016360200,    13089127640.00,          3598200,            17991,            12009
FUTSTK    ,M&M       ,24/02/2026,00003661.20,00003678.80,00003636.90,00003638.40,000000000165000,      150524580.00,            41200,              206,              195
FUTSTK    ,MANAPPURAM,30/12/2025,00000318.00,00000318.00,00000309.70,00000310.40,000000010986000,     3413019300.00,         10878000,             3626,             2274
FUTSTK    ,MANAPPURAM,27/01/2026,00000316.00,00000319.95,00000311.85,00000312.35,000000033516000,     3928407450.00,         12447000,             4149,             2826
FUTSTK    ,MANAPPURAM,24/02/2026,00000318.10,00000320.75,00000312.90,00000313.40,000000000342000,       85618350.00,           270000,              090,              075
FUTSTK    ,MANKIND   ,30/12/2025,00002197.50,00002197.50,00002169.70,00002178.10,000000000812250,     1383702120.00,           634725,             2821,             2665
FUTSTK    ,MANKIND   ,27/01/2026,00002195.10,00002204.90,00002184.20,00002189.40,000000001845900,     1486587172.50,           677925,             3013,             2794
FUTSTK    ,MANKIND   ,24/02/2026,00002210.00,00002213.30,00002199.50,00002200.70,000000000027900,       21314722.50,             9675,              043,              038
FUTSTK    ,MARICO    ,30/12/2025,00000745.00,00000753.95,00000741.85,00000751.65,000000006885600,     4667322180.00,          6244800,             5204,             4807
FUTSTK    ,MARICO    ,27/01/2026,00000754.00,00000759.10,00000746.10,00000756.95,000000032128800,     5804830440.00,          7711200,             6426,             5963
FUTSTK    ,MARICO    ,24/02/2026,00000748.80,00000760.85,00000748.80,00000758.50,000000000049200,       18120240.00,            24000,              020,              020
FUTSTK    ,MARUTI    ,30/12/2025,00016585.00,00016691.00,00016511.00,00016533.00,000000000721300,     9761039700.00,           589000,            11780,             9746
FUTSTK    ,MARUTI    ,27/01/2026,00016725.00,00016803.00,00016620.00,00016653.00,000000002710450,     9864758100.00,           591050,            11821,             9872
FUTSTK    ,MARUTI    ,24/02/2026,00016810.00,00016889.00,00016725.00,00016746.00,000000000024150,       99895750.00,             5950,              119,              106
FUTSTK    ,MAXHEALTH ,30/12/2025,00001074.90,00001076.20,00001060.90,00001063.40,000000007385175,     4856469660.00,          4542825,             8653,             6245
FUTSTK    ,MAXHEALTH ,27/01/2026,00001078.20,00001082.70,00001067.20,00001070.00,000000017465175,     5146554157.50,          4784850,             9114,             6694
FUTSTK    ,MAXHEALTH ,24/02/2026,00001081.00,00001087.00,00001074.60,00001076.20,000000000189000,       34601857.50,            32025,              061,              057
FUTSTK    ,MAZDOCK   ,30/12/2025,00002569.90,00002632.30,00002528.00,00002534.00,000000001629425,     4416345972.50,          1714300,             9796,             8981
FUTSTK    ,MAZDOCK   ,27/01/2026,00002579.90,00002648.00,00002543.20,00002548.60,000000003664400,     5584861700.00,          2155400,            10777,             9736
