INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,BANKNIFTY ,30/12/2025,00059200.00,00059230.60,00059010.00,00059065.80,000000001209635,    38400578216.00,           649705,            18563,            15017
FUTIDX    ,BANKNIFTY ,27/01/2026,00059666.00,00059666.00,00059390.40,00059439.40,000000000622170,    23582487192.00,           396450,            13215,            10529
FUTIDX    ,BANKNIFTY ,24/02/2026,00060025.00,00060188.80,00059764.00,00059802.40,000000000055440,     1111591020.00,            18570,              619,              468
FUTIDX    ,MIDCPNIFTY,30/12/2025,00013795.20,00013858.00,00013715.05,00013732.25,000000001949640,    16023689437.00,          1163400,             8310,             7023
FUTIDX    ,MIDCPNIFTY,27/01/2026,00013879.85,00013923.00,00013764.25,00013787.40,000000001087200,    13910157384.00,          1005960,             8383,             6463
FUTIDX    ,MIDCPNIFTY,24/02/2026,00013974.55,00013974.55,00013831.05,00013856.20,000000000030720,      194833458.00,            14040,              117,              100
FUTIDX    ,NIFTYNXT50,30/12/2025,00068890.00,00069222.20,00068853.40,00069023.80,000000000015300,     1253918450.00,            18150,              726,              663
FUTIDX    ,NIFTYNXT50,27/01/2026,00069598.80,00069599.00,00069081.20,00069272.80,000000000011250,     1057226905.00,            15250,              610,              567
FUTIDX    ,NIFTYNXT50,24/02/2026,00069542.60,00069542.60,00069408.80,00069408.80,000000000000025,        3473785.00,              050,              002,              002
FUTSTK    ,GAIL      ,30/12/2025,00000171.07,00000171.90,00000170.46,00000171.09,000000047328750,     3561938320.50,         20796300,             6602,             6174
FUTSTK    ,GAIL      ,27/01/2026,00000172.90,00000172.96,00000171.48,00000172.14,000000052718400,     3398553900.00,         19722150,             6261,             5889
FUTSTK    ,GAIL      ,24/02/2026,00000172.85,00000173.99,00000172.52,00000173.09,000000001615950,       51330510.00,           296100,              094,              084
FUTSTK    ,GLENMARK  ,30/12/2025,00002011.90,00002024.40,00002001.90,00002010.40,000000008847750,     8208818775.00,          4085625,            10895,             7654
FUTSTK    ,GLENMARK  ,27/01/2026,00002027.90,00002037.70,00002015.40,00002023.40,000000008510250,     8408911200.00,          4157625,            11087,             7793
FUTSTK    ,GLENMARK  ,24/02/2026,00002045.00,00002046.00,00002032.50,00002037.70,000000000030750,        9942750.00,             4875,              013,              013
