Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          3596027,        125571015,         742365.92,000000010026200
BANKNIFTY ,          4082340,        142335575,         842499.34,000000013737130
BANKNIFTY ,          3269047,        113976765,         674550.93,000000012036125
BANKNIFTY ,          3700519,        129037255,         763312.62,000000013653815
FINNIFTY  ,           135324,          8795715,          24104.78,000000000451340
FINNIFTY  ,           117628,          7645585,          20971.51,000000000414005
FINNIFTY  ,           126223,          8203515,          22500.10,000000000361935
FINNIFTY  ,            94153,          6119600,          16821.70,000000000394405
FINNIFTY  ,            92948,          6040090,          16613.01,000000000564845
FINNIFTY  ,            75900,          4932895,          13528.51,000000000347665
FINNIFTY  ,            78918,          5129285,          14082.63,000000000395800
MIDCPNIFTY,           308916,         43242640,          59458.56,000000001762780
MIDCPNIFTY,           631216,         88349440,         121550.91,000000005195940
MIDCPNIFTY,           356781,         49943900,          68623.81,000000001872580
MIDCPNIFTY,          1056135,        147356900,         203385.50,000000021250660
NIFTYNXT50,             1638,            40950,            283.66,000000000018850
NIFTYNXT50,             2257,            56425,            388.61,000000000024450
NIFTYNXT50,             1260,            31500,            218.12,000000000015625
NIFTY     ,         14010393,       1042956535,        2713962.11,000000070322410
NIFTY     ,         16456486,       1224954910,        3195230.26,000000084931190
NIFTY     ,         20017159,       1488370395,        3880460.77,000000085685125
NIFTY     ,         15213448,       1132802180,        2952243.29,000000068292105
NIFTY     ,         14654571,       1088828895,        2846409.46,000000085584730
NIFTY     ,         10901162,        809975630,        2112603.24,000000075508975
NIFTY     ,         11082926,        822941940,        2145363.24,000000079016695
NIFTYNXT50,             1936,            48400,            333.52,000000000021650
