Index Options                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,          1608643,         56127135,         332912.75,000000008990365
BANKNIFTY ,          2114177,         73608175,         437000.19,000000013154175
BANKNIFTY ,          2005276,         69877850,         414631.97,000000012024550
BANKNIFTY ,          1937383,         67422055,         400296.51,000000013339415
FINNIFTY  ,            35964,          2337635,           6421.37,000000000358240
FINNIFTY  ,            34831,          2263985,           6257.64,000000000296890
FINNIFTY  ,            50151,          3259525,           8966.42,000000000251820
FINNIFTY  ,            56519,          3673710,          10123.30,000000000312980
FINNIFTY  ,            78327,          5089395,          14033.77,000000000489050
FINNIFTY  ,            39704,          2580420,           7109.96,000000000308805
FINNIFTY  ,            38746,          2518105,           6958.36,000000000396240
MIDCPNIFTY,           155865,         21819520,          30198.32,000000001133680
MIDCPNIFTY,           318638,         44599760,          61792.73,000000004368300
MIDCPNIFTY,           171106,         23952660,          33181.44,000000001244720
MIDCPNIFTY,           823336,        114910320,         159669.07,000000023483220
NIFTYNXT50,             1110,            27750,            193.24,000000000019075
NIFTYNXT50,             1296,            32400,            224.58,000000000022100
NIFTYNXT50,              720,            18000,            125.00,000000000008975
NIFTY     ,          6504776,        484367860,        1266134.70,000000061909175
NIFTY     ,          6637977,        493217245,        1293315.98,000000071514590
NIFTY     ,          9865381,        734226255,        1918504.38,000000073990565
NIFTY     ,          9760923,        727574615,        1900210.48,000000069396285
NIFTY     ,         12907232,        962233440,        2520938.88,000000076699560
NIFTY     ,          8462636,        629592600,        1649045.58,000000066152730
NIFTY     ,          8015244,        595943480,        1560618.92,000000073581065
NIFTYNXT50,             1518,            37950,            262.19,000000000020375
