Index Futures                                                                                       
Symbol    ,No of Contracts Traded   ,Traded Quantity  ,Total Traded Value (Rs. In Crs.)   ,Open interest (Qty.) as at end of trading hrs.    
BANKNIFTY ,            32397,          1064725,           6309.47,000000001887245
FINNIFTY  ,              522,            33150,             91.22,000000000045495
MIDCPNIFTY,            16810,          2183400,           3012.87,000000003067560
NIFTYNXT50,             1338,            33450,            231.46,000000000026575
NIFTY     ,           141751,         10008665,          26171.73,000000019210210
