The top 20 option contracts on individual securities traded are as under:                           
S No      ,Symbol    ,Exp Date  ,Str Price  ,Opt Type  ,No of Cont       ,Notional Value (Rs.)     
1         ,DIXON     ,30/12/2025,00012000.00,PE      ,           121972,    73736685540.00
2         ,DIXON     ,30/12/2025,00011750.00,PE      ,           107579,    63516322413.00
3         ,DIXON     ,30/12/2025,00012500.00,CE      ,            88929,    55807047078.00
4         ,DIXON     ,30/12/2025,00011500.00,PE      ,            86597,    49906695060.00
5         ,MCX       ,30/12/2025,00011200.00,CE      ,            67954,    95517453781.00
6         ,DIXON     ,30/12/2025,00012250.00,CE      ,            63583,    39165951180.00
7         ,DIXON     ,30/12/2025,00013000.00,CE      ,            57295,    37277304348.00
8         ,MAZDOCK   ,30/12/2025,00002650.00,CE      ,            53372,    24889873619.00
9         ,DIXON     ,30/12/2025,00012750.00,CE      ,            50505,    32262314560.00
10        ,DIXON     ,30/12/2025,00012000.00,CE      ,            42138,    25512804710.00
11        ,DIXON     ,30/12/2025,00013500.00,CE      ,            41807,    28228135315.00
12        ,HINDZINC  ,30/12/2025,00000650.00,CE      ,            40828,    32699675680.00
13        ,MAZDOCK   ,30/12/2025,00002600.00,CE      ,            40254,    18466476446.00
14        ,DIXON     ,30/12/2025,00011000.00,PE      ,            39607,    21796118988.00
15        ,DIXON     ,30/12/2025,00011250.00,PE      ,            39276,    22117475003.00
16        ,MCX       ,30/12/2025,00011000.00,PE      ,            38622,    53320080363.00
17        ,COFORGE   ,30/12/2025,00001700.00,CE      ,            37923,    24364944450.00
18        ,DIXON     ,30/12/2025,00013250.00,CE      ,            37124,    24605825055.00
19        ,MCX       ,30/12/2025,00010900.00,PE      ,            35912,    49078455113.00
20        ,MAZDOCK   ,30/12/2025,00002700.00,CE      ,            35376,    16760643708.00
The top twenty contracts contributed to around  10% of the total traded volume in Options on individual securities.DIXON was the most active option contracts on individual securities traded today with 1048236 contracts and HINDZINC was the next most active options contracts with 459169 contracts being traded.                                                                                                                                                                                              
